index,rank,song,artist_base,artist_all,year,artist_featured
0,1,the battle of new orleans,johnny horton,johnny horton,1959,
1,2,mack the knife,bobby darin,bobby darin,1959,
2,3,personality,lloyd price,lloyd price,1959,
3,4,venus,frankie avalon,frankie avalon,1959,
4,5,lonely boy,paul anka,paul anka,1959,
5,6,dream lover,bobby darin,bobby darin,1959,
6,7,the three bells,the browns,the browns,1959,
7,8,come softly to me,the fleetwoods,the fleetwoods,1959,
8,9,kansas city,wilbert harrison,wilbert harrison,1959,
9,10,mr. blue,the fleetwoods,the fleetwoods,1959,
10,11,sleep walk,santo & johnny,santo & johnny,1959,
11,12,put your head on my shoulder,paul anka,paul anka,1959,
12,13,stagger lee,lloyd price,lloyd price,1959,
13,14,donna,ritchie valens,ritchie valens,1959,
14,15,pink shoe laces,dodie stevens,dodie stevens,1959,
15,16,smoke gets in your eyes,the platters,the platters,1959,
16,17,charlie brown,the coasters,the coasters,1959,
17,18,quiet village,martin denny,martin denny,1959,
18,19,my heart is an open book,carl dobkins jr.,carl dobkins jr.,1959,
19,20,(till) i kissed you,the everly brothers,the everly brothers,1959,
20,21,sea of love,phil phillips,phil phillips,1959,
21,22,the happy organ,dave cortez,dave cortez,1959,
22,23,i'm gonna get married,lloyd price,lloyd price,1959,
23,24,sorry (i ran all the way home),the impalas,the impalas,1959,
24,25,a teenager in love,dion and the belmonts,dion and the belmonts,1959,
25,26,16 candles,the crests,the crests,1959,
26,27,it's just a matter of time,brook benton,brook benton,1959,
27,28,lipstick on your collar,connie francis,connie francis,1959,
28,29,there goes my baby,the drifters,the drifters,1959,
29,30,a big hunk o' love,elvis presley,elvis presley,1959,
30,31,red river rock,johnny and the hurricanes,johnny and the hurricanes,1959,
31,32,waterloo,stonewall jackson,stonewall jackson,1959,
32,33,lavender blue,sammy turner,sammy turner,1959,
33,34,night,elvis presley,elvis presley,1959,
34,35,guitar boogie shuffle,the virtues,the virtues,1959,
35,36,teen beat,sandy nelson,sandy nelson,1959,
36,37,"kookie, kookie (lend me your comb)",edd byrnes,edd byrnes  &  connie stevens,1959,
37,38,tragedy,thomas wayne,thomas wayne,1959,
38,39,my happiness,connie francis,connie francis,1959,
39,40,tallahassee lassie,freddy cannon,freddy cannon,1959,
