acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.805,johnny horton,0.0,the battle of new orleans,0.704,151507.0,0.743,0.0,66eFGhs8LXeBgrXk0YgRJK,0.0,9.0,0.205,-12.069,1.0,53.0,1989-06-13,0.129,American Originals,Johnny Horton,The Battle Of New Orleans,177.362,4.0,audio_features,spotify:track:66eFGhs8LXeBgrXk0YgRJK,0.92
0.76,bobby darin,1.0,mack the knife,0.549,184333.0,0.529,0.0,3E5ndyOfO6vFDEIE42HA8o,0.0,3.0,0.206,-12.291,0.0,64.0,1959,0.108,That's All,Bobby Darin,Mack the Knife,82.755,4.0,audio_features,spotify:track:3E5ndyOfO6vFDEIE42HA8o,0.464
0.744,lloyd price,2.0,personality,0.591,157733.0,0.454,0.0,5vjigjfoXuJEttqLB3HTAg,0.0,5.0,0.0989,-8.936,1.0,54.0,1994-01-01,0.0322,Lloyd Price Greatest Hits: The Original ABC-Paramount Recordings,Lloyd Price,Personality,128.909,4.0,audio_features,spotify:track:5vjigjfoXuJEttqLB3HTAg,0.865
0.538,frankie avalon,3.0,venus,0.605,143760.0,0.434,0.0,1odzZRPb3CvbIT2xU5vFma,2.41e-05,10.0,0.0804,-12.976,1.0,44.0,2002-01-01,0.0298,25 All-Time Greatest Hits,Frankie Avalon,Venus,114.983,4.0,audio_features,spotify:track:1odzZRPb3CvbIT2xU5vFma,0.837
0.352,paul anka,4.0,lonely boy,0.623,151107.0,0.605,0.0,4kh2S9hRpPvoF9JkwZcYGN,0.0,0.0,0.101,-9.923,1.0,50.0,2000-10-03,0.0306,Put Your Head On My Shoulder: The Very Best Of Paul Anka,Paul Anka,Lonely Boy,106.163,3.0,audio_features,spotify:track:4kh2S9hRpPvoF9JkwZcYGN,0.804
0.715,bobby darin,5.0,dream lover,0.526,150706.0,0.774,0.0,1KLpjQFgubHI3GkAICCNH3,0.0,5.0,0.437,-1.692,1.0,62.0,2004-11-23,0.0459,The Ultimate Bobby Darin,Bobby Darin,Dream Lover,131.715,4.0,audio_features,spotify:track:1KLpjQFgubHI3GkAICCNH3,0.715
0.893,the browns,6.0,the three bells,0.47,169573.0,0.159,0.0,24SbmQo3XQkNLpSBYda4DA,0.0,7.0,0.124,-14.795,1.0,43.0,2010-12-10,0.0403,Pure... Country,The Browns,The Three Bells,106.488,4.0,audio_features,spotify:track:24SbmQo3XQkNLpSBYda4DA,0.418
0.93,the fleetwoods,7.0,come softly to me,0.601,144933.0,0.095,0.0,603N4XGJUTbK760GLCvIIs,0.000285,1.0,0.116,-18.478,1.0,58.0,1993-01-01,0.0374,Come Softly To Me: The Very Best Of The Fleetwoods,The Fleetwoods,Come Softly To Me,122.975,4.0,audio_features,spotify:track:603N4XGJUTbK760GLCvIIs,0.672
0.653,wilbert harrison,8.0,kansas city,0.727,150333.0,0.665,0.0,4GvyP7CnBJEV2t7L7vOkjw,0.233,1.0,0.349,-6.453,1.0,48.0,1959,0.0352,An Introduction to Wilbert Harrison,Wilbert Harrison,Kansas City,114.979,4.0,audio_features,spotify:track:4GvyP7CnBJEV2t7L7vOkjw,0.912
0.931,the fleetwoods,9.0,mr blue,0.374,145133.0,0.0889,0.0,6bnFjTW3EnMG4BwreDnSHK,6.88e-06,4.0,0.111,-17.475,1.0,61.0,1993-01-01,0.0356,Come Softly To Me: The Very Best Of The Fleetwoods,The Fleetwoods,Mr. Blue,96.677,4.0,audio_features,spotify:track:6bnFjTW3EnMG4BwreDnSHK,0.211
0.759,santo and johnny,10.0,sleep walk,0.779,145333.0,0.212,0.0,0yK8sWD6cfrc7pGfaPIcZH,0.959,10.0,0.235,-9.759,0.0,64.0,2012-10-25,0.0362,Canadian American Greatest Hits 50th Anniversary Collection,Santo & Johnny,Sleep Walk,94.675,3.0,audio_features,spotify:track:0yK8sWD6cfrc7pGfaPIcZH,0.444
